[2020-05-13;kya,2155,268,412,1807,8616,199;kiw,1065,62,364,913,8429,60;louka,1868,269,181,1541,8141,113;ekzo,486,88,153,434,8885,21;klexis,883,111,121,694,7575,74;cacaille,833,57,113,683,8281,44;jdm,486,84,111,424,8542,31;tanjiro,931,81,111,734,7093,60;unsaid,407,79,106,350,8302,23;moon,1440,107,105,1090,7229,140;fob,960,44,97,805,6973,38;paul,589,50,93,444,7693,63;loo,836,36,91,710,8337,32;synthpop,1759,25,81,1395,7673,119;kuma,545,67,71,468,8019,58;grundjt,563,52,64,492,7955,52;pig,1115,95,63,832,8084,84;nynynys,291,44,63,253,8650,57;comensava,883,69,59,700,7171,56;squaty,313,18,54,261,8219,18;kawa,169,32,53,152,8528,6;ephy,790,82,39,607,8217,60;vainqueur,76,0,35,66,0,5;charly,392,14,34,281,8011,42;rifilou,565,46,32,432,6941,54]
[2020-05-14;kya,2155,268,412,1807,8616,199;kiw,1065,62,364,913,8429,60;louka,1868,269,181,1541,8141,113;ekzo,486,88,153,434,8885,21;klexis,893,111,123,701,7575,74;cacaille,833,57,113,683,8281,44;jdm,486,84,111,424,8542,31;tanjiro,931,81,111,734,7093,60;unsaid,435,87,111,375,8249,26;moon,1464,109,107,1111,7216,140;fob,990,47,104,831,7026,38;paul,589,50,93,444,7693,63;loo,836,36,91,710,8337,32;synthpop,1781,27,81,1413,7361,121;grundjt,595,56,71,516,7947,55;kuma,545,67,71,468,8019,58;nynynys,292,44,63,254,8650,57;pig,1115,95,63,832,8084,84;comensava,883,69,59,700,7171,56;kawa,183,32,55,164,8528,6;squaty,313,18,54,261,8219,18;ephy,795,82,39,611,8217,60;vainqueur,76,0,35,66,0,5;ink,310,38,35,241,8237,44;charly,392,14,34,281,8011,42]
[2020-05-15;kya,2155,268,412,1807,8616,199;kiw,1065,62,364,913,8429,60;louka,1868,269,181,1541,8141,113;ekzo,486,88,153,434,8885,21;unsaid,510,109,127,442,8198,27;klexis,893,111,123,701,7575,74;cacaille,833,57,113,683,8281,44;jdm,486,84,111,424,8542,31;tanjiro,931,81,111,734,7093,60;moon,1464,109,107,1111,7216,140;fob,990,47,104,831,7026,38;paul,589,50,93,444,7693,63;loo,836,36,91,710,8337,32;synthpop,1781,27,81,1413,7361,121;grundjt,595,56,71,516,7947,55;kuma,545,67,71,468,8019,58;pig,1117,95,63,832,8084,84;nynynys,292,44,63,254,8650,57;comensava,883,69,59,700,7171,56;kawa,183,32,55,164,8528,6;squaty,313,18,54,261,8219,18;ephy,795,82,39,611,8217,60;vainqueur,76,0,35,66,0,5;ink,310,38,35,241,8237,44;charly,392,14,34,281,8011,42]
[2020-05-16;kya,2339,291,445,1965,8637,211;kiw,1065,62,364,913,8429,60;louka,1886,271,184,1552,8132,113;ekzo,486,88,153,434,8885,21;klexis,1029,127,139,810,7678,90;unsaid,510,109,127,442,8198,27;cacaille,862,59,114,708,8282,44;jdm,486,84,111,424,8542,31;moon,1512,111,111,1149,7238,141;tanjiro,931,81,111,734,7093,60;fob,1054,48,108,884,7063,38;paul,589,50,93,444,7693,63;loo,897,40,93,758,8415,34;synthpop,1821,27,81,1446,7361,123;grundjt,612,56,74,531,7947,55;kuma,545,67,71,468,8019,58;kawa,248,47,70,221,8662,10;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;comensava,899,69,61,715,7171,56;squaty,313,18,54,261,8219,18;ephy,840,84,41,649,8190,62;ink,346,47,40,274,8289,49;rifilou,619,49,36,476,6958,56;vainqueur,76,0,35,66,0,5]
[2020-05-17;kya,2339,291,445,1965,8637,211;kiw,1065,62,364,913,8429,60;louka,1939,276,189,1597,8144,115;ekzo,486,88,153,434,8885,21;klexis,1047,132,142,826,7690,92;unsaid,510,109,127,442,8198,27;cacaille,867,59,114,713,8282,44;tanjiro,952,81,113,747,7093,61;fob,1077,49,112,905,7027,39;moon,1512,111,111,1149,7238,141;jdm,486,84,111,424,8542,31;loo,988,47,104,834,8365,40;paul,589,50,93,444,7693,63;synthpop,1897,28,86,1508,7429,125;grundjt,622,58,76,540,7882,55;kuma,545,67,71,468,8019,58;kawa,248,47,70,221,8662,10;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;comensava,899,69,61,715,7171,56;squaty,350,22,60,293,8297,20;mowgli,206,20,54,157,7835,21;ephy,840,84,41,649,8190,62;ink,346,47,40,274,8289,49;charly,400,14,38,288,8011,43]
[2020-05-18;kya,2540,308,490,2137,8650,224;kiw,1068,62,364,916,8429,60;louka,1983,281,193,1633,8143,116;ekzo,492,88,153,438,8885,21;unsaid,558,116,143,484,8174,34;klexis,1047,132,142,826,7690,92;cacaille,924,62,117,753,8286,47;fob,1125,51,116,947,7054,40;tanjiro,952,81,113,747,7093,61;moon,1512,111,111,1149,7238,141;jdm,486,84,111,424,8542,31;loo,1032,48,108,871,8276,40;paul,589,50,93,444,7693,63;synthpop,1909,28,87,1519,7429,126;grundjt,650,63,80,565,7972,57;kuma,587,72,79,499,8033,63;kawa,248,47,70,221,8662,10;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;comensava,899,69,61,715,7171,56;squaty,350,22,60,293,8297,20;mowgli,226,20,59,172,7835,21;charly,456,21,43,334,7659,48;ephy,840,84,41,649,8190,62;ink,346,47,40,274,8289,49]
[2020-05-19;kya,2540,308,490,2137,8650,224;kiw,1068,62,364,916,8429,60;louka,1983,281,193,1633,8143,116;ekzo,492,88,153,438,8885,21;unsaid,558,116,143,484,8174,34;klexis,1047,132,142,826,7690,92;cacaille,924,62,117,753,8286,47;fob,1125,51,116,947,7054,40;tanjiro,952,81,113,747,7093,61;moon,1512,111,111,1149,7238,141;jdm,486,84,111,424,8542,31;loo,1034,48,108,871,8276,41;paul,589,50,93,444,7693,63;synthpop,1909,28,87,1519,7429,126;grundjt,650,63,80,565,7972,57;kuma,587,72,79,499,8033,63;kawa,248,47,70,221,8662,10;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;comensava,899,69,61,715,7171,56;squaty,350,22,60,293,8297,20;mowgli,226,20,59,172,7835,21;charly,456,21,43,334,7659,48;ephy,840,84,41,649,8190,62;ink,346,47,40,274,8289,49]
[2020-05-20;kya,2540,308,490,2137,8650,224;kiw,1068,62,364,916,8429,60;louka,1983,281,193,1633,8143,116;ekzo,492,88,153,438,8885,21;klexis,1070,135,147,841,7693,97;unsaid,569,116,146,492,8174,34;cacaille,924,62,117,753,8286,47;fob,1125,51,116,947,7054,40;tanjiro,952,81,113,747,7093,61;moon,1512,111,111,1149,7238,141;jdm,486,84,111,424,8542,31;loo,1054,51,109,888,8264,41;paul,589,50,93,444,7693,63;synthpop,1934,29,89,1538,7439,127;grundjt,650,63,80,565,7972,57;kuma,587,72,79,499,8033,63;kawa,264,48,73,233,8632,13;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;comensava,919,70,62,731,7175,57;squaty,365,22,61,303,8297,24;mowgli,226,20,59,172,7835,21;charly,456,21,43,334,7659,48;ephy,840,84,41,649,8190,62;ink,346,47,40,274,8289,49]
[2020-05-21;kya,2640,322,509,2225,8644,232;kiw,1068,62,364,916,8429,60;louka,1983,281,193,1633,8143,116;unsaid,664,137,168,580,8292,39;ekzo,492,88,153,438,8885,21;klexis,1070,135,147,841,7693,97;cacaille,924,62,117,753,8286,47;fob,1143,51,117,961,7054,40;tanjiro,952,81,113,747,7093,61;loo,1119,52,112,943,8280,41;moon,1512,111,111,1149,7238,141;jdm,486,84,111,424,8542,31;paul,589,50,93,444,7693,63;synthpop,2014,30,91,1602,7492,128;grundjt,650,63,80,565,7972,57;kuma,587,72,79,499,8033,63;kawa,264,48,73,233,8632,13;comensava,952,71,67,758,7187,60;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;squaty,365,22,61,303,8297,24;mowgli,226,20,59,172,7835,21;charly,456,21,43,334,7659,48;ephy,840,84,41,649,8190,62;ink,346,47,40,274,8289,49]
[2020-05-22;kya,2640,322,509,2225,8644,232;kiw,1068,62,364,916,8429,60;louka,1983,281,193,1633,8143,116;unsaid,724,155,191,630,8182,46;ekzo,492,88,153,438,8885,21;klexis,1070,135,147,841,7693,97;cacaille,924,62,117,753,8286,47;fob,1143,51,117,961,7054,40;tanjiro,952,81,113,747,7093,61;loo,1119,52,112,943,8280,41;moon,1512,111,111,1149,7238,141;jdm,486,84,111,424,8542,31;paul,589,50,93,444,7693,63;synthpop,2014,30,91,1602,7492,128;grundjt,650,63,80,565,7972,57;kuma,587,72,79,499,8033,63;kawa,264,48,73,233,8632,13;comensava,952,71,67,758,7187,60;nynynys,300,44,64,262,8650,57;pig,1143,98,63,857,8057,84;squaty,365,22,61,303,8297,24;mowgli,226,20,59,172,7835,21;charly,456,21,43,334,7659,48;rifilou,694,55,43,532,7053,61;ephy,840,84,41,649,8190,62]
